iter	MultiClass
0	1.246033644
1	1.129980029
2	1.029394794
3	0.9473285911
4	0.8742549669
5	0.8079379762
6	0.749401493
7	0.6977289541
8	0.6505271853
9	0.608678068
10	0.5687450695
11	0.5321025492
12	0.4992186872
13	0.4689794855
14	0.4407408174
15	0.4145589034
16	0.3910039825
17	0.3690371347
18	0.3479017224
19	0.3283873416
20	0.310248627
21	0.2933949175
22	0.2780127317
23	0.263377131
24	0.2491845588
25	0.2360327787
26	0.2234794782
27	0.2118221721
28	0.2008575494
29	0.190448412
30	0.1808021442
31	0.1718787764
32	0.1631787878
33	0.1549608458
34	0.1473851031
35	0.1401746673
36	0.1335587674
37	0.1271262305
38	0.1209587965
39	0.1152611547
40	0.1096471028
41	0.104342066
42	0.09949935515
43	0.0948788017
44	0.09040575103
45	0.08623322967
46	0.08229211544
47	0.07862078545
48	0.07512724608
49	0.07175549219
50	0.06861100538
51	0.06554080342
52	0.0627524773
53	0.06007504614
54	0.05745782179
55	0.05496217846
56	0.05260491778
57	0.05047250999
58	0.04845971535
59	0.04658815443
60	0.04462301445
61	0.04275952236
62	0.04100054175
63	0.03936285009
64	0.03774424839
65	0.03627062445
66	0.03501692611
67	0.03370355093
68	0.03235701179
69	0.03123308317
70	0.03004022426
71	0.02891220533
72	0.02788312254
73	0.02684356234
74	0.02586055908
75	0.02489099524
76	0.02399289282
77	0.02337140345
78	0.02254334527
79	0.02184301835
80	0.02117144226
81	0.02050047724
82	0.01986187181
83	0.01934402331
84	0.01870740184
85	0.01816973833
86	0.01760371134
87	0.01714819225
88	0.01659688008
89	0.01629850021
90	0.0158120371
91	0.01539950248
92	0.01510372828
93	0.01467303157
94	0.01426066185
95	0.0139407288
96	0.01361872531
97	0.01338694829
98	0.01311522891
99	0.01279199343
100	0.01253095943
101	0.01244140148
102	0.0122757836
103	0.01199370059
104	0.0117405311
105	0.01148698375
106	0.01124862299
107	0.0110370074
108	0.01080280888
109	0.01064417151
110	0.01053252813
111	0.01038861031
112	0.01022249609
113	0.01004345276
114	0.009838944698
115	0.009793349836
116	0.009667869562
117	0.009581248771
118	0.009482577348
119	0.009447333209
120	0.009381514222
121	0.009290697682
122	0.009276725398
123	0.009109454597
124	0.009065024469
125	0.009020634832
126	0.008872492331
127	0.008726743085
128	0.00861923592
129	0.008501751896
130	0.008432977436
131	0.008351906885
132	0.008266574623
133	0.008216222404
134	0.008160246591
135	0.008122325692
136	0.008028401947
137	0.007933354543
138	0.007899170974
139	0.007819634735
140	0.007754336794
141	0.007738206797
142	0.007704849496
143	0.007662430597
144	0.007653402401
145	0.007550633096
146	0.007517124025
147	0.007460246366
148	0.007451155344
149	0.00741854583
